run_id,scenario,backend,model,execution_mode,dataset,language,num_utterances,wer,cer,ser,ftl_ms_p50,ftl_ms_p95,final_latency_ms_p50,final_latency_ms_p95,rtf_mean,rtf_p95,end_to_end_rtf_mean,end_to_end_rtf_p95,provider_compute_rtf_mean,throughput_audio_sec_per_sec,cpu_pct_mean,cpu_pct_p95,ram_mb_peak,gpu_mem_mb_peak,energy_j_per_audio_min,ece,brier,confidence_available,calibration_valid,calibration_reason,calibration_diagnostic_only,noise_deg_pp,accent_gap_pp,oov_available,oov_rate,noise_metrics_available,energy_available,model_size_mb,cost_per_audio_hour_usd,scenario_score,ci_95_low,ci_95_high,admissible,admissibility_flags
thesis_local_20260503T181036Z_analytics,analytics,providers/huggingface_local:balanced,balanced,batch,librispeech_test_clean_subset,en-US,10,0.03921568627,0.03348017621,0.6,,,1957.175969,36418.4825,2.038875806,10.27590903,2.038875806,10.27590903,2.038832684,1.122753591,11.219301,15.39375,3827.3125,4287,,,,False,False,confidence unavailable,False,2.450980392,,False,,True,False,,0,80.66007117,0.02702702703,0.04864864865,True,
thesis_local_20260503T181036Z_analytics,analytics,providers/whisper_local:light,light,batch,librispeech_test_clean_subset,en-US,10,0.1490196078,0.1066079295,1,,,625.8826435,3991.561854,0.2668223508,1.115968619,0.2668223508,1.115968619,0.2667671548,7.53910111,29.85880952,33.85,946.90625,662,,0.8372774192,0.709882162,True,False,requires at least 30 confidence-bearing samples,True,13.7254902,,False,,True,False,,0,61.89037695,0.06106060606,0.2689981361,False,analytics_wer_above_baseline
thesis_local_20260503T181036Z_analytics,analytics,providers/vosk_local:en_small,en_small,batch,librispeech_test_clean_subset,en-US,10,0.2784313725,0.2352422907,1,,,1283.690234,2183.814627,0.1772177197,0.2850144603,0.1772177197,0.2850144603,0.1753763062,6.841848332,10.5452742,14.7278125,998.1835938,677,,0.8898051624,0.7997399773,True,False,requires at least 30 confidence-bearing samples,True,27.45098039,,False,,True,False,,0,35.63982109,0.07998275862,0.6001538462,False,analytics_wer_above_baseline
