provider,model,dataset,language,acoustic_profile,wer,rtf_mean,latency_p95,success_rate,benchmark_status
vosk_local,en_small,fleurs_ja_jp_test_subset,ja-JP,crowdsourced_mobile,10.25714286,0.1787119733,4858.174438,0.94,success
vosk_local,en_small,fleurs_sk_sk_test_subset,sk-SK,crowdsourced_mobile,1.512820513,0.2123246881,3072.061435,0.96,success
vosk_local,en_small,librispeech_test_clean_subset,en-US,clean_read,0.06374501992,0.1495940858,2253.064929,0.98,success
vosk_local,en_small,librispeech_test_other_subset,en-US,harder_read,0.1952662722,0.220608043,1921.075184,1,success
vosk_local,en_small,mini_librispeech_dev_clean_2_subset,en-US,clean_read,0.05813953488,0.2160768415,1668.092544,1,success
vosk_local,en_small,mls_german_test_subset,de-DE,multilingual_audiobook,1.218855219,0.1505475697,3958.132468,1,success
vosk_local,en_small,mls_spanish_test_subset,es-ES,multilingual_audiobook,1.36997319,0.2016319737,3826.51058,1,success
vosk_local,en_small,voxpopuli_de_test_subset,de-DE,far_field_plenary,1.252475248,0.2419594923,3431.880637,1,success
vosk_local,en_small,voxpopuli_en_test_subset,en-US,far_field_plenary,0.185483871,0.192496996,3533.762256,1,success
vosk_local,en_small,voxpopuli_es_test_subset,es-ES,far_field_plenary,1.410557185,0.2673832213,5286.582259,1,success
whisper_local,light,fleurs_en_us_test_subset,en-US,crowdsourced_mobile,0.1770334928,0.06863721042,1375.926175,1,success
whisper_local,light,fleurs_fr_fr_test_subset,fr-FR,crowdsourced_mobile,0.2711864407,0.1003297508,2632.60063,1,success
whisper_local,light,fleurs_ja_jp_test_subset,ja-JP,crowdsourced_mobile,1.114285714,0.06045670349,2268.050199,1,success
whisper_local,light,fleurs_sk_sk_test_subset,sk-SK,crowdsourced_mobile,0.7692307692,0.09218120894,1879.201088,1,success
whisper_local,light,librispeech_test_clean_subset,en-US,clean_read,0.03984063745,0.108064403,946.7832123,1,success
whisper_local,light,librispeech_test_other_subset,en-US,harder_read,0.1479289941,0.1744295524,701.7085433,1,success
whisper_local,light,mini_librispeech_dev_clean_2_subset,en-US,clean_read,0.05813953488,0.1161560689,531.1420933,1,success
whisper_local,light,mls_german_test_subset,de-DE,multilingual_audiobook,0.1548821549,0.04428232467,771.1906104,1,success
whisper_local,light,mls_spanish_test_subset,es-ES,multilingual_audiobook,0.1260053619,0.05499522982,802.6226671,1,success
whisper_local,light,voxpopuli_de_test_subset,de-DE,far_field_plenary,0.2871287129,0.08481099227,791.0280489,1,success
whisper_local,light,voxpopuli_en_test_subset,en-US,far_field_plenary,0.1209677419,0.1068354306,826.0498011,1,success
whisper_local,light,voxpopuli_es_test_subset,es-ES,far_field_plenary,0.2375366569,0.07476419997,2020.631181,1,success
