provider,model,dataset,language,acoustic_profile,samples,final_latency_ms_p50,final_latency_ms_p95,end_to_end_rtf_mean,end_to_end_rtf_p95,provider_compute_rtf_mean,throughput_audio_sec_per_sec,admissible,admissibility_flags
huggingface_local,balanced,fleurs_fr_fr_test_subset,fr-FR,crowdsourced_mobile,50,1579.698057,2925.938884,0.1974724639,0.2357326282,0.1974436978,5.24062389,true,
huggingface_local,balanced,fleurs_ja_jp_test_subset,ja-JP,crowdsourced_mobile,50,1867.455812,4738.250829,0.1535639618,0.2094717431,0.1535458545,6.210782832,true,
huggingface_local,balanced,fleurs_sk_sk_test_subset,sk-SK,crowdsourced_mobile,49,1719.119815,2361.802729,0.1957333903,0.2496116138,0.1956952414,5.235966301,true,
huggingface_local,balanced,librispeech_test_clean_subset,en-US,clean_read,50,1326.866742,3768.025529,0.2568012973,0.3322478479,0.2567631017,5.167621014,true,
huggingface_local,balanced,librispeech_test_other_subset,en-US,harder_read,50,1163.859453,2119.977291,0.357031554,0.5052961785,0.3569715312,3.690147517,true,
huggingface_local,balanced,mini_librispeech_dev_clean_2_subset,en-US,clean_read,50,1250.222901,1445.5573,0.2833462743,0.5282251002,0.2832890665,3.825261797,true,
huggingface_local,balanced,mls_german_test_subset,de-DE,multilingual_audiobook,50,1830.27951,2015.89727,0.1132054752,0.1305111939,0.1131895564,8.831789051,true,
huggingface_local,balanced,mls_spanish_test_subset,es-ES,multilingual_audiobook,49,1837.915074,2368.450564,0.1419155736,0.151387921,0.141897117,7.049039548,true,
huggingface_local,balanced,voxpopuli_de_test_subset,de-DE,far_field_plenary,50,1473.852091,2090.7347,0.2167790799,0.3494661398,0.2167463797,5.271876753,true,
huggingface_local,balanced,voxpopuli_en_test_subset,en-US,far_field_plenary,50,1460.551845,3403.635965,0.2668275887,0.9610326957,0.266781802,6.10092914,true,
huggingface_local,balanced,voxpopuli_es_test_subset,es-ES,far_field_plenary,50,1713.909698,4096.398828,0.1731814828,0.2307172859,0.1731556612,5.959022546,true,
vosk_local,en_small,fleurs_en_us_test_subset,en-US,crowdsourced_mobile,38,1268.246847,2687.739311,0.1345536666,0.2041942506,0.1331026299,7.482220002,true,
vosk_local,en_small,fleurs_fr_fr_test_subset,fr-FR,crowdsourced_mobile,46,1955.845676,4067.913502,0.2223055365,0.2903371372,0.21951266,4.52800426,true,
vosk_local,en_small,fleurs_ja_jp_test_subset,ja-JP,crowdsourced_mobile,47,2595.74887,4858.174438,0.1787119733,0.2274678177,0.1767284245,5.547335847,true,
vosk_local,en_small,fleurs_sk_sk_test_subset,sk-SK,crowdsourced_mobile,48,2152.393832,3072.061435,0.2123246881,0.2903400681,0.2096825138,4.774960529,true,
vosk_local,en_small,librispeech_test_clean_subset,en-US,clean_read,49,1086.938512,2253.064929,0.1495940858,0.2280908532,0.1477952079,7.570060964,true,
vosk_local,en_small,librispeech_test_other_subset,en-US,harder_read,50,859.365156,1921.075184,0.220608043,0.3504861363,0.2180149175,5.048225578,true,
vosk_local,en_small,mini_librispeech_dev_clean_2_subset,en-US,clean_read,50,1013.862265,1668.092544,0.2160768415,0.3315367576,0.2135183086,4.837733716,true,
vosk_local,en_small,mls_german_test_subset,de-DE,multilingual_audiobook,50,2483.192639,3958.132468,0.1505475697,0.2275795501,0.148891283,6.609837451,true,
vosk_local,en_small,mls_spanish_test_subset,es-ES,multilingual_audiobook,50,2827.908361,3826.51058,0.2016319737,0.2535027902,0.1991537274,4.959319887,true,
vosk_local,en_small,voxpopuli_de_test_subset,de-DE,far_field_plenary,50,1831.157096,3431.880637,0.2419594923,0.3242229657,0.2388705744,4.391157649,true,
vosk_local,en_small,voxpopuli_en_test_subset,en-US,far_field_plenary,50,1487.78197,3533.762256,0.192496996,0.3612132051,0.1902504232,6.254915203,true,
vosk_local,en_small,voxpopuli_es_test_subset,es-ES,far_field_plenary,50,3242.774973,5286.582259,0.2673832213,0.3457377729,0.2639867104,3.858834982,true,
whisper_local,light,fleurs_en_us_test_subset,en-US,crowdsourced_mobile,50,543.8408375,1375.926175,0.06863721042,0.1310703342,0.06859361511,15.07482273,true,
whisper_local,light,fleurs_fr_fr_test_subset,fr-FR,crowdsourced_mobile,50,581.2311585,2632.60063,0.1003297508,0.2875450393,0.1002895656,10.51755026,true,
whisper_local,light,fleurs_ja_jp_test_subset,ja-JP,crowdsourced_mobile,50,687.1656565,2268.050199,0.06045670349,0.1491447705,0.06043230897,16.15925996,true,
whisper_local,light,fleurs_sk_sk_test_subset,sk-SK,crowdsourced_mobile,50,629.746921,1879.201088,0.09218120894,0.1927802661,0.09214366273,11.4553026,true,
whisper_local,light,librispeech_test_clean_subset,en-US,clean_read,50,487.3803125,946.7832123,0.108064403,0.1379556833,0.1080102934,14.02199133,true,
whisper_local,light,librispeech_test_other_subset,en-US,harder_read,50,473.477008,701.7085433,0.1744295524,0.1884654344,0.1743503399,8.391685702,true,
whisper_local,light,mini_librispeech_dev_clean_2_subset,en-US,clean_read,50,499.5440025,531.1420933,0.1161560689,0.2046016574,0.1160868172,9.277271428,true,
whisper_local,light,mls_german_test_subset,de-DE,multilingual_audiobook,50,628.692708,771.1906104,0.04428232467,0.04628882066,0.04425983463,22.39143043,true,
whisper_local,light,mls_spanish_test_subset,es-ES,multilingual_audiobook,50,654.1086425,802.6226671,0.05499522982,0.05148978785,0.05496926352,18.17031873,true,
whisper_local,light,voxpopuli_de_test_subset,de-DE,far_field_plenary,50,552.121885,791.0280489,0.08481099227,0.1354207911,0.08476784613,12.92426037,true,
whisper_local,light,voxpopuli_en_test_subset,en-US,far_field_plenary,50,545.2280945,826.0498011,0.1068354306,0.3426610078,0.1067753997,15.76356124,true,
whisper_local,light,voxpopuli_es_test_subset,es-ES,far_field_plenary,50,663.34473,2020.631181,0.07476419997,0.1539929486,0.07473058226,14.72256512,true,
