provider,model,local_or_cloud,dataset_count,total_audio_duration_sec,estimated_cost_usd,cost_per_audio_hour_usd,cost_type,offline_capable,internet_required,credentials_required,ros2_suitability,cocohrip_suitability
aws_cloud,standard,cloud,12,1276.13375,0.5104535,1.44,cloud_estimated,false,true,true,medium,good when AWS account and bucket are configured
azure_cloud,standard,cloud,12,1258.73375,0.377620125,1.08,cloud_estimated,false,true,true,medium,good when internet and credentials are acceptable
google_cloud,balanced,cloud,12,1276.13375,not_estimated,not_estimated,cloud_not_estimated,false,true,true,medium,good when internet and credentials are acceptable
huggingface_local,balanced,local,12,6358.69875,0,0,local_hardware_not_monetized,true,model download only,false,medium-high,good when model cache and hardware are available
vosk_local,en_small,local,12,6165.25375,0,0,local_hardware_not_monetized,true,false,false,high,high for lightweight offline commands
whisper_local,light,local,12,6380.66875,0,0,local_hardware_not_monetized,true,false,false,high,high for offline/local baseline
