provider,model,dataset,language,acoustic_profile,clean_wer,snr_20_wer,snr_10_wer,snr_5_wer,snr_0_wer,noise_deg_pp,robustness_rank_within_dataset
huggingface_local,balanced,voxpopuli_es_test_subset,es-ES,far_field_plenary,0.1407624633,0.1348973607,0.1407624633,0.1554252199,0.2052785924,6.451612903,2
vosk_local,en_small,fleurs_en_us_test_subset,en-US,crowdsourced_mobile,0.2535885167,0.3205741627,0.5031446541,0.8888888889,0.9657534247,71.21649079,2
vosk_local,en_small,fleurs_fr_fr_test_subset,fr-FR,crowdsourced_mobile,1,1,1,0.9907834101,0.9946808511,0,1
vosk_local,en_small,fleurs_ja_jp_test_subset,ja-JP,crowdsourced_mobile,1,1,1,1,1,0,1
vosk_local,en_small,fleurs_sk_sk_test_subset,sk-SK,crowdsourced_mobile,1,1,1,1,1,0,1
vosk_local,en_small,librispeech_test_clean_subset,en-US,clean_read,0.06374501992,0.07569721116,0.1195219124,0.2310756972,0.7644628099,70.071779,3
vosk_local,en_small,librispeech_test_other_subset,en-US,harder_read,0.1952662722,0.2781065089,0.4437869822,0.5976331361,0.8343195266,63.90532544,3
vosk_local,en_small,mini_librispeech_dev_clean_2_subset,en-US,clean_read,0.05813953488,0.1162790698,0.2674418605,0.476744186,0.75,69.18604651,3
vosk_local,en_small,mls_german_test_subset,de-DE,multilingual_audiobook,1,1,1,1,1,0,1
vosk_local,en_small,mls_spanish_test_subset,es-ES,multilingual_audiobook,1,1,1,1,0.9919571046,0,1
vosk_local,en_small,voxpopuli_de_test_subset,de-DE,far_field_plenary,1,1,1,1,0.995049505,0,1
vosk_local,en_small,voxpopuli_en_test_subset,en-US,far_field_plenary,0.185483871,0.2096774194,0.2580645161,0.4153225806,0.7217741935,53.62903226,2
vosk_local,en_small,voxpopuli_es_test_subset,es-ES,far_field_plenary,1,1,1,1,1,0,1
whisper_local,light,fleurs_en_us_test_subset,en-US,crowdsourced_mobile,0.1770334928,0.1961722488,0.2822966507,1,1,82.29665072,3
whisper_local,light,fleurs_fr_fr_test_subset,fr-FR,crowdsourced_mobile,0.2711864407,0.5423728814,1,1,1,72.88135593,2
whisper_local,light,fleurs_ja_jp_test_subset,ja-JP,crowdsourced_mobile,1,1,1,1,1,0,2
whisper_local,light,fleurs_sk_sk_test_subset,sk-SK,crowdsourced_mobile,0.7692307692,0.7756410256,1,1,1,23.07692308,2
whisper_local,light,librispeech_test_clean_subset,en-US,clean_read,0.03984063745,0.04780876494,0.05179282869,0.1274900398,0.3466135458,30.67729084,2
whisper_local,light,librispeech_test_other_subset,en-US,harder_read,0.1479289941,0.2130177515,0.2958579882,0.4615384615,0.7100591716,56.21301775,2
whisper_local,light,mini_librispeech_dev_clean_2_subset,en-US,clean_read,0.05813953488,0.1162790698,0.1627906977,0.2965116279,0.6976744186,63.95348837,2
whisper_local,light,mls_german_test_subset,de-DE,multilingual_audiobook,0.1548821549,0.1818181818,0.2760942761,0.4208754209,1,84.51178451,3
whisper_local,light,mls_spanish_test_subset,es-ES,multilingual_audiobook,0.1260053619,0.1474530831,0.2064343164,0.2895442359,0.6970509383,57.10455764,3
whisper_local,light,voxpopuli_de_test_subset,de-DE,far_field_plenary,0.2871287129,0.2722772277,0.3415841584,0.4405940594,0.6534653465,36.63366337,3
whisper_local,light,voxpopuli_en_test_subset,en-US,far_field_plenary,0.1209677419,0.1088709677,0.1532258065,0.1612903226,1,87.90322581,3
whisper_local,light,voxpopuli_es_test_subset,es-ES,far_field_plenary,0.2375366569,0.2258064516,0.3049853372,0.366568915,1,76.24633431,3
