provider,model,dataset,language,acoustic_profile,total_attempts,successful_attempts,failed_attempts,success_rate,timeout_count,rate_limit_count,auth_error_count,provider_error_count,oom_count,sanitized_error_summary
vosk_local,en_small,librispeech_test_other_subset,en-US,harder_read,50,50,0,1,0,0,0,0,0,
vosk_local,en_small,mini_librispeech_dev_clean_2_subset,en-US,clean_read,50,50,0,1,0,0,0,0,0,
vosk_local,en_small,mls_german_test_subset,de-DE,multilingual_audiobook,50,50,0,1,0,0,0,0,0,
vosk_local,en_small,mls_spanish_test_subset,es-ES,multilingual_audiobook,50,50,0,1,0,0,0,0,0,
vosk_local,en_small,voxpopuli_de_test_subset,de-DE,far_field_plenary,50,50,0,1,0,0,0,0,0,
vosk_local,en_small,voxpopuli_en_test_subset,en-US,far_field_plenary,50,50,0,1,0,0,0,0,0,
vosk_local,en_small,voxpopuli_es_test_subset,es-ES,far_field_plenary,50,50,0,1,0,0,0,0,0,
whisper_local,light,fleurs_en_us_test_subset,en-US,crowdsourced_mobile,50,50,0,1,0,0,0,0,0,
whisper_local,light,fleurs_fr_fr_test_subset,fr-FR,crowdsourced_mobile,50,50,0,1,0,0,0,0,0,
whisper_local,light,fleurs_ja_jp_test_subset,ja-JP,crowdsourced_mobile,50,50,0,1,0,0,0,0,0,
whisper_local,light,fleurs_sk_sk_test_subset,sk-SK,crowdsourced_mobile,50,50,0,1,0,0,0,0,0,
whisper_local,light,librispeech_test_clean_subset,en-US,clean_read,50,50,0,1,0,0,0,0,0,
whisper_local,light,librispeech_test_other_subset,en-US,harder_read,50,50,0,1,0,0,0,0,0,
whisper_local,light,mini_librispeech_dev_clean_2_subset,en-US,clean_read,50,50,0,1,0,0,0,0,0,
whisper_local,light,mls_german_test_subset,de-DE,multilingual_audiobook,50,50,0,1,0,0,0,0,0,
whisper_local,light,mls_spanish_test_subset,es-ES,multilingual_audiobook,50,50,0,1,0,0,0,0,0,
whisper_local,light,voxpopuli_de_test_subset,de-DE,far_field_plenary,50,50,0,1,0,0,0,0,0,
whisper_local,light,voxpopuli_en_test_subset,en-US,far_field_plenary,50,50,0,1,0,0,0,0,0,
whisper_local,light,voxpopuli_es_test_subset,es-ES,far_field_plenary,50,50,0,1,0,0,0,0,0,
