run_id,scenario,backend,model,execution_mode,dataset,language,num_utterances,wer,cer,ser,ftl_ms_p50,ftl_ms_p95,final_latency_ms_p50,final_latency_ms_p95,rtf_mean,rtf_p95,end_to_end_rtf_mean,end_to_end_rtf_p95,provider_compute_rtf_mean,throughput_audio_sec_per_sec,cpu_pct_mean,cpu_pct_p95,ram_mb_peak,gpu_mem_mb_peak,energy_j_per_audio_min,ece,brier,confidence_available,calibration_valid,calibration_reason,calibration_diagnostic_only,noise_deg_pp,accent_gap_pp,oov_available,oov_rate,noise_metrics_available,energy_available,model_size_mb,cost_per_audio_hour_usd,scenario_score,ci_95_low,ci_95_high,admissible,admissibility_flags
thesis_local_20260503T220622Z_analytics,analytics,providers/huggingface_local:balanced,balanced,batch,librispeech_test_clean_subset,en-US,50,0.03426294821,0.01985815603,0.4,,,1294.973564,3731.230282,0.2368794234,0.3103771473,0.2368794234,0.3103771473,0.2368387511,5.456153913,10.04024654,15.16375,3375.480469,4642,,,,False,False,confidence unavailable,False,3.28685259,,False,,True,False,,0,91.09877453,0.02092826258,0.05117954169,True,
thesis_local_20260503T220622Z_analytics,analytics,providers/whisper_local:light,light,batch,librispeech_test_clean_subset,en-US,50,0.1227091633,0.07180851064,0.78,,,490.986308,929.3311467,0.08901182084,0.1338551346,0.08901182084,0.1338551346,0.08895962245,15.71165169,32.69252532,37.7055,1001.972656,538,,0.6297390537,0.5477379833,True,True,,False,10.35856574,,False,,True,False,,0,68.01756798,0.08117909907,0.1661252465,False,analytics_wer_above_baseline
thesis_local_20260503T220622Z_analytics,analytics,providers/vosk_local:en_small,en_small,batch,librispeech_test_clean_subset,en-US,50,0.2525896414,0.1867021277,0.92,,,959.538762,2381.233229,0.148918795,0.226287322,0.148918795,0.226287322,0.1472214687,7.452358249,9.864412135,11.444,1047.277344,531,,0.8354382845,0.7679505988,True,True,,False,23.60557769,,False,,True,False,,0,42.96958151,0.1635737244,0.3551285463,False,analytics_wer_above_baseline
